     0.000000,     0.000000,     0.000000
     0.000000,     0.000000,     0.000000
     0.000000,     0.000000,     0.000000
     0.000000,     0.000000,     0.000000
     0.000000,     0.000000,     0.000000
     0.000000,     0.000000,     0.000000
     0.000997,     0.000000,     0.000000
     0.001023,     0.000000,     0.000000
     0.001969,     0.001023,     0.000000
     0.002966,     0.001994,     0.000000
     0.007978,     0.005013,     0.000000
     0.013962,     0.008966,     0.000980
     0.033932,     0.018945,     0.002000
     0.075365,     0.042889,     0.002991
     0.159121,     0.087761,     0.009950
     0.338130,     0.179201,     0.016974
     0.688133,     0.411961,     0.039893
     1.667679,     1.048812,     0.095744
     3.854741,     2.200967,     0.220381
     8.116174,     4.382093,     0.507674
    15.248820,     9.063669,     1.247968
    31.413860,    23.654836,     2.628729
    74.829813,    49.270825,     6.124803
   153.698897,   109.947944,    15.264571
   327.911349,   239.456980,    34.167254
   706.569877,   473.586519,    75.956624
